CodigoPostulacion;Ciudad;GeneroPostulante;ExperienciaLaboralRelevante;NivelDeEducacion;AreaDelConocimiento;AnosDeExperiencia;TamanoDelaEmpresa;TipoDeEmpresa;AnosEnElActualTrabajo;HorasDeCapacitacion;Etiqueta
9108;245;Masculino;Con experiencia relevante;Mag�st;STEM;20;;;1;12;0
18726;248;Masculino;Con experiencia relevante;Mag�st;STEM;7;50-99;Ltda;5;41;0
7772;246;Masculino;Con experiencia relevante;Universitaria;STEM;6;50-99;;0;11;0
27493;247;Masculino;Con experiencia relevante;Universitaria;STEM;12;1000-4999;ONG;2;5;0
31691;250;Masculino;Con experiencia relevante;Mag�st;STEM;10;100-500;Ltda;5;32;0
21156;252;Masculino;Con experiencia relevante;Universitaria;STEM;6;;;1;78;1
7968;253;;Sin experiencia relevante;Universitaria;STEM;20;100-500;Ltda;1;18;0
9973;251;Masculino;Con experiencia relevante;Universitaria;STEM;20;10000+;Ltda;5;156;0
18189;255;Masculino;Sin experiencia relevante;Universitaria;STEM;4;;;4;15;0
12362;254;;Con experiencia relevante;Universitaria;STEM;1;10000+;Ltda;;28;1
8547;270;Other;Con experiencia relevante;Universitaria;STEM;11;;;1;82;0
2691;273;Masculino;Con experiencia relevante;Universitaria;STEM;5;10000+;Ltda;1;222;0
13824;272;Masculino;Con experiencia relevante;Ense�anza Med;;17;10000+;Ltda;5;22;0
9370;271;Masculino;Con experiencia relevante;Ense�anza Med;;11;50-99;Ltda;1;36;0
24630;260;;Con experiencia relevante;Mag�st;STEM;9;100-500;Ltda;3;30;1
28165;263;Masculino;Con experiencia relevante;Universitaria;STEM;8;50-99;Ltda;2;168;0
25301;262;Masculino;Sin experiencia relevante;Mag�st;STEM;3;50-99;Empresa P�bli;3;156;0
7828;264;Masculino;Con experiencia relevante;Universitaria;STEM;5;10000+;Ltda;2;29;1
26339;261;Masculino;Con experiencia relevante;Universitaria;STEM;15;50-99;;1;37;0
20296;310;Femenino;Con experiencia relevante;Universitaria;STEM;5;;;4;41;1
6355;316;Masculino;Con experiencia relevante;Mag�st;STEM;12;1000-4999;Ltda;1;146;0
22609;318;Masculino;Con experiencia relevante;Universitaria;STEM;5;1000-4999;Ltda;5;37;0
4730;317;Masculino;Con experiencia relevante;Universitaria;STEM;19;;;5;24;0
28200;313;Masculino;Con experiencia relevante;Mag�st;STEM;20;oct-49;Startup;4;7;1
20806;314;Masculino;Con experiencia relevante;Mag�st;Humanidades;20;;;0;15;0
16667;312;Masculino;Con experiencia relevante;Universitaria;STEM;7;50-99;Ltda;1;21;0
24034;315;Masculino;Con experiencia relevante;Mag�st;STEM;7;10000+;Ltda;0;216;1
27659;311;Masculino;Con experiencia relevante;Universitaria;STEM;8;10000+;Ltda;1;114;0
28881;330;Masculino;Con experiencia relevante;Universitaria;STEM;1;;Ltda;1;41;1
22113;285;Masculino;Sin experiencia relevante;Universitaria;STEM;6;;;1;220;0
2021;287;;Sin experiencia relevante;Ense�anza Med;;4;<10;Startup;;4;0
16586;288;Masculino;Con experiencia relevante;Mag�st;STEM;12;50-99;Ltda;4;34;0
14728;286;Masculino;Con experiencia relevante;Universitaria;STEM;20;100-500;Ltda;1;26;0
7713;275;Masculino;Con experiencia relevante;Universitaria;STEM;18;50-99;Ltda;5;126;0
32980;277;Masculino;Con experiencia relevante;Universitaria;STEM;9;500-999;Ltda;1;28;1
26251;279;Masculino;Con experiencia relevante;Universitaria;STEM;6;100-500;Empresa P�bli;2;135;0
21255;276;Masculino;Con experiencia relevante;Ense�anza Med;;20;1000-4999;Ltda;2;26;0
26830;278;Masculino;Con experiencia relevante;Universitaria;Humanidades;2;10000+;Otras;1;80;0
6529;300;Masculino;Con experiencia relevante;Universitaria;STEM;8;500-999;Ltda;2;113;0
9884;302;Masculino;Con experiencia relevante;Universitaria;Humanidades;13;<10;Ltda;4;30;1
8238;304;;Con experiencia relevante;Universitaria;STEM;10;50-99;ONG;5;48;1
13251;301;;Sin experiencia relevante;Ense�anza B�;;8;;;0;110;0
8086;305;Masculino;Sin experiencia relevante;Mag�st;STEM;3;50-99;Ltda;3;149;0
10607;303;Masculino;Con experiencia relevante;Mag�st;STEM;20;;;5;39;1
1719;306;Masculino;Con experiencia relevante;Universitaria;STEM;10;50-99;Ltda;4;7;0
12133;320;Masculino;Con experiencia relevante;Universitaria;STEM;18;10000+;Ltda;2;18;0
25630;324;Masculino;Con experiencia relevante;Mag�st;STEM;18;100-500;Empresa P�bli;2;16;0
6079;321;Femenino;Con experiencia relevante;Mag�st;STEM;12;;;0;50;0
28767;323;Masculino;Con experiencia relevante;Universitaria;STEM;20;;;5;30;1
11164;322;Masculino;Con experiencia relevante;Universitaria;STEM;9;10000+;Ltda;3;47;0
6849;325;Masculino;Sin experiencia relevante;Universitaria;STEM;20;;;0;31;0
16729;290;;Con experiencia relevante;Universitaria;STEM;17;;;1;43;0
23197;295;Masculino;Con experiencia relevante;Mag�st;STEM;20;50-99;Ltda;3;69;0
31519;294;;Sin experiencia relevante;Universitaria;STEM;4;;;0;37;1
19450;293;;Con experiencia relevante;Universitaria;STEM;3;100-500;Ltda;1;20;0
29499;291;Other;Sin experiencia relevante;Universitaria;Otros;13;;;2;42;0
3716;292;Masculino;Con experiencia relevante;Universitaria;STEM;6;oct-49;Startup;1;23;0
23519;335;Femenino;Sin experiencia relevante;Universitaria;STEM;3;;;0;45;0
29485;338;Masculino;Sin experiencia relevante;Universitaria;STEM;4;;;1;48;1
25346;349;Masculino;Con experiencia relevante;Universitaria;STEM;20;;;5;14;1
28853;348;Masculino;Sin experiencia relevante;Universitaria;Humanidades;4;;;2;76;1
9687;350;Masculino;Con experiencia relevante;Universitaria;STEM;9;50-99;Empresa P�bli;5;140;0
14943;336;Masculino;Con experiencia relevante;Mag�st;STEM;12;1000-4999;Ltda;5;36;1
3746;351;Masculino;Con experiencia relevante;Universitaria;STEM;2;oct-49;Startup;0;55;0
8270;339;;Sin experiencia relevante;Ense�anza Med;;4;;;0;326;1
24427;343;;Con experiencia relevante;Universitaria;STEM;2;;;1;7;0
28474;337;Masculino;Con experiencia relevante;Universitaria;STEM;17;;;4;19;0
28418;340;Masculino;Con experiencia relevante;Universitaria;STEM;20;;;1;33;0
26477;347;Masculino;Con experiencia relevante;Universitaria;STEM;5;oct-49;Ltda;1;240;0
32559;346;Masculino;Sin experiencia relevante;Universitaria;STEM;4;;;1;21;0
20681;355;Masculino;Con experiencia relevante;Universitaria;STEM;5;500-999;Ltda;4;15;0
26015;359;;Con experiencia relevante;Universitaria;STEM;9;100-500;Ltda;2;45;0
30569;356;Masculino;Con experiencia relevante;Mag�st;STEM;9;oct-49;Ltda;2;50;0
1735;361;;Con experiencia relevante;Universitaria;STEM;8;<10;Startup;1;63;0
27272;358;Masculino;Con experiencia relevante;Universitaria;STEM;6;50-99;ONG;1;39;0
19059;363;;Sin experiencia relevante;Universitaria;STEM;5;;;1;18;0
9111;364;Masculino;Con experiencia relevante;Universitaria;STEM;3;<10;Startup;1;165;0
12477;357;Masculino;Con experiencia relevante;Mag�st;STEM;9;<10;Ltda;5;62;0
1616;362;Masculino;Con experiencia relevante;Universitaria;STEM;7;100-500;Ltda;1;27;0
24564;360;;Con experiencia relevante;Mag�st;STEM;20;100-500;Ltda;5;72;0
13922;390;Masculino;Con experiencia relevante;Universitaria;Arte;3;50-99;Ltda;1;62;0
2029;397;Masculino;Con experiencia relevante;Mag�st;Humanidades;20;50-99;Startup;2;4;0
17030;398;Masculino;Con experiencia relevante;Mag�st;STEM;20;1000-4999;Empresa P�bli;5;3;0
20529;395;;Con experiencia relevante;Universitaria;STEM;6;<10;Ltda;1;100;1
25583;394;;Con experiencia relevante;Universitaria;STEM;10;;;1;79;1
6958;391;Masculino;Con experiencia relevante;Universitaria;STEM;9;10000+;Ltda;1;139;0
20341;396;Masculino;Con experiencia relevante;Mag�st;STEM;3;10000+;Ltda;1;47;0
15199;392;;Con experiencia relevante;Universitaria;Administraci�n y Neogci;14;<10;Ltda;1;9;1
25388;393;;Con experiencia relevante;Mag�st;STEM;3;10000+;Ltda;1;22;1
2602;399;Masculino;Con experiencia relevante;Universitaria;STEM;10;10000+;Ltda;1;222;0
3729;410;Masculino;Con experiencia relevante;Ense�anza Med;;5;1000-4999;Ltda;1;34;0
28089;412;Femenino;Sin experiencia relevante;Universitaria;STEM;4;50-99;Ltda;1;24;0
21471;411;;Sin experiencia relevante;Universitaria;STEM;2;;;1;43;1
8251;380;Masculino;Con experiencia relevante;Mag�st;STEM;5;10000+;;1;194;0
28157;385;Masculino;Con experiencia relevante;Universitaria;STEM;16;oct-49;Ltda;3;7;0
1294;386;Masculino;Con experiencia relevante;Ense�anza Med;;10;100-500;Otras;0;40;1
31964;383;Masculino;Con experiencia relevante;Mag�st;STEM;16;<10;Startup;1;57;0
33081;388;;Con experiencia relevante;Universitaria;STEM;16;100-500;Ltda;1;105;0
13016;382;Masculino;Sin experiencia relevante;Universitaria;STEM;4;;;2;61;0
15949;384;Masculino;Con experiencia relevante;Mag�st;STEM;7;;;2;18;0
26687;381;Femenino;Sin experiencia relevante;Mag�st;STEM;6;<10;Empresa P�bli;5;4;0
4653;387;Masculino;Sin experiencia relevante;Ense�anza Med;;7;;Ltda;0;22;0
6800;400;;Con experiencia relevante;Universitaria;STEM;13;100-500;;;73;0
21215;402;Femenino;Con experiencia relevante;Universitaria;STEM;2;50-99;Ltda;1;43;0
11037;403;Masculino;Con experiencia relevante;Ense�anza Med;;10;;;1;96;0
9597;404;;Sin experiencia relevante;Universitaria;STEM;1;;;1;26;1
17642;405;;Sin experiencia relevante;;;;;;0;33;0
7590;407;;Con experiencia relevante;Universitaria;STEM;20;50-99;Ltda;1;176;0
10631;406;Masculino;Sin experiencia relevante;Mag�st;Otros;1;50-99;Ltda;0;20;1
19448;401;Masculino;Con experiencia relevante;Universitaria;STEM;7;10000+;Ltda;2;314;1
21608;455;Masculino;Con experiencia relevante;Mag�st;STEM;13;500-999;Ltda;5;5;0
31953;291;Masculino;Con experiencia relevante;Universitaria;Otros;3;<10;Ltda;2;74;0
3961;292;Femenino;Con experiencia relevante;Universitaria;STEM;1;100-500;Startup;1;103;0
7451;335;Masculino;Con experiencia relevante;Mag�st;STEM;20;10000+;Ltda;5;33;1
2384;338;Masculino;Con experiencia relevante;Mag�st;STEM;9;500-999;Ltda;5;108;0
24511;349;Femenino;Con experiencia relevante;Mag�st;STEM;18;100-500;ONG;1;72;0
31932;348;Femenino;Con experiencia relevante;Universitaria;STEM;20;;;2;56;1
10365;350;Masculino;Con experiencia relevante;Universitaria;STEM;20;100-500;Ltda;2;118;0
26853;336;Masculino;Sin experiencia relevante;Universitaria;STEM;3;<10;ONG;1;72;1
19495;351;;Sin experiencia relevante;;;2;<10;Startup;0;84;0
15017;339;;Sin experiencia relevante;Universitaria;STEM;4;;;2;25;0
28860;343;Masculino;Con experiencia relevante;Mag�st;STEM;15;oct-49;Startup;1;90;0
20171;337;Masculino;Con experiencia relevante;Universitaria;STEM;16;100-500;Ltda;1;29;0
2975;340;Masculino;Con experiencia relevante;Mag�st;STEM;20;oct-49;Ltda;1;13;0
31553;347;Masculino;Con experiencia relevante;Universitaria;STEM;11;1000-4999;;2;64;0
16892;346;;Con experiencia relevante;Universitaria;STEM;4;50-99;Ltda;3;94;1
26849;344;Masculino;Con experiencia relevante;Mag�st;STEM;20;;;2;97;1
26067;342;;Sin experiencia relevante;Universitaria;STEM;5;1000-4999;Ltda;5;14;1
14073;341;Masculino;Con experiencia relevante;Universitaria;STEM;11;oct-49;Startup;1;90;0
5250;345;;Con experiencia relevante;Doctorado;STEM;3;;Ltda;0;94;0
2994;370;Masculino;Con experiencia relevante;Universitaria;STEM;8;10000+;Ltda;1;6;0
7167;373;Masculino;Con experiencia relevante;Mag�st;STEM;6;oct-49;;1;8;0
30284;372;Masculino;Con experiencia relevante;Mag�st;STEM;20;100-500;Ltda;2;15;0
18309;374;Masculino;Sin experiencia relevante;Universitaria;STEM;10;;;0;56;1
18951;371;Masculino;Con experiencia relevante;Universitaria;STEM;7;100-500;Ltda;3;100;0
14133;375;Masculino;Con experiencia relevante;Universitaria;Arte;9;50-99;Startup;2;22;0
32615;355;Masculino;Sin experiencia relevante;Ense�anza B�;;1;1000-4999;Empresa P�bli;2;85;0
29968;359;Femenino;Sin experiencia relevante;Universitaria;STEM;3;;;1;75;1
27421;356;Femenino;Sin experiencia relevante;Universitaria;STEM;3;10000+;Ltda;1;43;1
17508;361;Masculino;Con experiencia relevante;Universitaria;STEM;4;50-99;Ltda;1;2;0
19407;358;Masculino;Con experiencia relevante;Universitaria;STEM;6;5000-9999;Ltda;4;43;0
7721;363;;Con experiencia relevante;Universitaria;STEM;20;<10;Startup;2;35;0
11577;364;Masculino;Con experiencia relevante;Universitaria;Administraci�n y Neogci;4;100-500;Ltda;3;29;0
11498;357;Femenino;Con experiencia relevante;Universitaria;STEM;3;;Startup;0;48;1
7278;362;;Sin experiencia relevante;Ense�anza Med;;3;;;;21;1
27202;360;Masculino;Con experiencia relevante;Universitaria;STEM;15;;;1;50;1
4016;390;;Con experiencia relevante;Mag�st;STEM;20;5000-9999;Empresa P�bli;2;78;0
24248;397;;Con experiencia relevante;Ense�anza B�;;3;50-99;Ltda;0;86;0
7412;398;Masculino;Sin experiencia relevante;Ense�anza Med;;1;50-99;Ltda;1;39;0
1874;395;;Sin experiencia relevante;Universitaria;STEM;4;;;;9;1
3145;394;Masculino;Con experiencia relevante;Ense�anza Med;;16;500-999;Ltda;1;104;0
2939;391;Masculino;Con experiencia relevante;Universitaria;STEM;7;100-500;Ltda;3;100;0
14043;396;;Con experiencia relevante;Universitaria;STEM;15;50-99;Ltda;5;97;1
26891;392;Masculino;Con experiencia relevante;Universitaria;STEM;20;5000-9999;Ltda;4;68;0
23391;393;Masculino;Con experiencia relevante;Universitaria;STEM;5;;Ltda;0;31;0
12375;399;;Con experiencia relevante;Universitaria;STEM;1;50-99;;2;36;1
23903;410;;Con experiencia relevante;Universitaria;STEM;20;;;5;83;1
10615;412;Masculino;Con experiencia relevante;Universitaria;STEM;14;1000-4999;Ltda;2;29;1
31171;411;Masculino;Sin experiencia relevante;Universitaria;STEM;1;oct-49;;1;5;0
23083;380;;Con experiencia relevante;Mag�st;STEM;10;50-99;;3;108;0
33131;385;Masculino;Sin experiencia relevante;Universitaria;STEM;5;<10;Ltda;3;143;0
3674;386;Masculino;Con experiencia relevante;Universitaria;STEM;10;50-99;Empresa P�bli;2;202;0
17093;383;Masculino;Con experiencia relevante;Universitaria;STEM;20;10000+;Ltda;5;53;0
31987;388;;Con experiencia relevante;Universitaria;Humanidades;2;500-999;;1;4;0
6696;382;;Sin experiencia relevante;Mag�st;STEM;15;<10;Ltda;2;83;0
20301;384;Masculino;Con experiencia relevante;Universitaria;STEM;5;10000+;Ltda;2;102;0
24874;381;;Con experiencia relevante;Universitaria;STEM;3;10000+;;3;210;0
29819;387;Masculino;Con experiencia relevante;Mag�st;STEM;14;50-99;Startup;1;34;0
11499;400;Masculino;Con experiencia relevante;Universitaria;STEM;10;<10;Ltda;2;76;0
30715;402;Masculino;Con experiencia relevante;Universitaria;STEM;10;100-500;Ltda;1;4;0
18813;403;Masculino;Sin experiencia relevante;Ense�anza Med;;5;;;1;140;1
20220;404;Masculino;Sin experiencia relevante;Universitaria;STEM;11;50-99;Ltda;1;136;1
3581;405;Masculino;Sin experiencia relevante;Universitaria;STEM;8;;;1;79;0
28587;407;Femenino;Con experiencia relevante;Universitaria;STEM;3;10000+;ONG;2;8;0
1671;406;Masculino;Sin experiencia relevante;Ense�anza Med;;1;;;0;105;0
28977;401;Femenino;Con experiencia relevante;Mag�st;STEM;20;;;4;33;0
16222;455;Masculino;Sin experiencia relevante;Ense�anza Med;;5;;;1;96;0
15399;463;Femenino;Con experiencia relevante;Mag�st;Otros;9;100-500;Ltda;4;9;0
14830;474;Masculino;Con experiencia relevante;Universitaria;STEM;10;100-500;Ltda;5;17;0
16330;459;Masculino;Sin experiencia relevante;Ense�anza Med;;3;5000-9999;Ltda;1;63;1
33380;460;Masculino;Sin experiencia relevante;Universitaria;STEM;14;10000+;Ltda;2;168;0
977;462;Masculino;Con experiencia relevante;Ense�anza Med;;5;;;1;54;0
681;457;Masculino;Con experiencia relevante;Universitaria;Sin Licenciatura;9;10000+;Ltda;1;13;0
7495;464;Masculino;Con experiencia relevante;Universitaria;STEM;6;10000+;Ltda;2;110;1
30418;461;Masculino;Con experiencia relevante;Mag�st;STEM;9;1000-4999;Ltda;2;71;0
16969;456;Masculino;Sin experiencia relevante;Universitaria;Sin Licenciatura;20;5000-9999;Ltda;5;12;0
18480;458;Masculino;Con experiencia relevante;Doctorado;STEM;20;;;0;43;0
22044;456;;Con experiencia relevante;Universitaria;STEM;7;;;0;35;0
9203;465;Masculino;Con experiencia relevante;Mag�st;STEM;20;1000-4999;Ltda;1;43;0
15897;466;Masculino;Con experiencia relevante;Universitaria;STEM;8;500-999;Empresa P�bli;1;30;0
13624;469;;Con experiencia relevante;Mag�st;STEM;5;oct-49;Ltda;1;150;0
20062;470;Masculino;Sin experiencia relevante;Universitaria;STEM;20;oct-49;Ltda;4;124;0
9855;467;Masculino;Con experiencia relevante;Universitaria;STEM;20;50-99;Ltda;5;57;0
26006;468;Masculino;Con experiencia relevante;Universitaria;STEM;20;;;3;5;0
8782;471;Masculino;Con experiencia relevante;Universitaria;STEM;7;oct-49;Ltda;5;50;0
19931;440;;Sin experiencia relevante;Ense�anza Med;;3;;;2;122;1
13007;443;Masculino;Sin experiencia relevante;Mag�st;STEM;3;100-500;Ltda;1;28;0
10219;441;Femenino;Con experiencia relevante;Mag�st;STEM;20;50-99;Ltda;2;111;0
27783;450;Masculino;Con experiencia relevante;Universitaria;Humanidades;16;50-99;Ltda;1;66;0
19131;447;Masculino;Sin experiencia relevante;Universitaria;STEM;2;10000+;Ltda;1;6;0
7956;449;Masculino;Sin experiencia relevante;Mag�st;STEM;6;;;;174;0
3845;448;Masculino;Con experiencia relevante;Universitaria;STEM;5;50-99;Ltda;5;106;0
28624;446;Femenino;Con experiencia relevante;Mag�st;STEM;17;oct-49;Ltda;1;14;0
19669;444;Masculino;Con experiencia relevante;Universitaria;STEM;7;oct-49;Ltda;1;28;0
27715;451;Masculino;Sin experiencia relevante;Ense�anza Med;;20;<10;Ltda;5;35;0
7190;445;Masculino;Con experiencia relevante;Universitaria;STEM;20;<10;;3;168;0
28075;442;Masculino;Con experiencia relevante;Mag�st;STEM;4;50-99;;1;112;0
32502;452;Masculino;Con experiencia relevante;Universitaria;STEM;12;50-99;Ltda;5;312;0
28517;445;Masculino;Sin experiencia relevante;Mag�st;STEM;12;oct-49;Startup;2;14;0
2572;415;Masculino;Con experiencia relevante;Mag�st;STEM;10;10000+;Ltda;0;95;0
8634;425;Masculino;Con experiencia relevante;Mag�st;STEM;20;;;5;50;0
24281;230;Masculino;Con experiencia relevante;Mag�st;STEM;6;50-99;Ltda;2;103;0
16479;231;Masculino;Sin experiencia relevante;Ense�anza Med;;6;100-500;Ltda;1;4;1
29705;232;Other;Con experiencia relevante;;;1;oct-49;Ltda;1;200;1
5311;233;;Sin experiencia relevante;Universitaria;STEM;20;;;2;12;1
32590;225;Masculino;Sin experiencia relevante;Universitaria;STEM;5;;;0;56;1
13575;226;Masculino;Con experiencia relevante;Universitaria;STEM;20;50-99;Ltda;1;53;0
19782;227;Femenino;Con experiencia relevante;Universitaria;STEM;6;50-99;Ltda;3;59;0
14336;220;Masculino;Con experiencia relevante;Universitaria;STEM;16;50-99;ONG;2;14;0
4335;221;Femenino;Con experiencia relevante;Universitaria;STEM;16;1000-4999;Ltda;5;142;0
26182;240;Masculino;Con experiencia relevante;Universitaria;STEM;9;;;5;17;0
31612;241;Masculino;Con experiencia relevante;Mag�st;STEM;14;10000+;Ltda;2;14;0
23175;242;;Sin experiencia relevante;Universitaria;Arte;5;100-500;Ltda;;80;0
15041;235;Other;Sin experiencia relevante;Universitaria;STEM;13;10000+;Empresa P�bli;5;13;0
26416;236;Masculino;Sin experiencia relevante;Ense�anza Med;;2;;;0;3;0
26048;245;Masculino;Sin experiencia relevante;Ense�anza Med;;6;;;1;73;0
3162;248;Masculino;Con experiencia relevante;Mag�st;STEM;10;500-999;Ltda;4;48;0
4880;246;Masculino;Con experiencia relevante;Mag�st;STEM;16;10000+;Ltda;5;50;0
23144;247;Masculino;Con experiencia relevante;Universitaria;Humanidades;6;oct-49;Ltda;5;14;0
10996;250;Masculino;Con experiencia relevante;Universitaria;STEM;12;50-99;Ltda;5;96;0
22619;252;;Sin experiencia relevante;Universitaria;STEM;4;;Ltda;1;156;1
15968;253;Masculino;Con experiencia relevante;Universitaria;STEM;7;100-500;Ltda;1;3;0
33150;251;Masculino;Con experiencia relevante;Universitaria;STEM;2;;;0;4;1
33056;255;Masculino;Con experiencia relevante;Mag�st;STEM;3;50-99;Startup;1;12;1
9264;254;Masculino;Con experiencia relevante;Mag�st;STEM;18;10000+;Ltda;4;17;0
28291;270;;Con experiencia relevante;Mag�st;STEM;20;<10;Otras;1;63;0
4392;273;Masculino;Con experiencia relevante;Universitaria;STEM;2;10000+;Ltda;1;22;0
3300;272;;Con experiencia relevante;Universitaria;STEM;14;oct-49;Ltda;3;52;0
30825;271;Femenino;Sin experiencia relevante;Universitaria;STEM;2;10000+;;0;34;0
30500;260;Masculino;Con experiencia relevante;Ense�anza Med;;10;;;1;79;0
22662;263;Masculino;Con experiencia relevante;Mag�st;STEM;20;10000+;Ltda;1;107;0
10417;262;Masculino;Con experiencia relevante;Universitaria;Administraci�n y Neogci;18;50-99;Ltda;1;92;1
6777;264;;Con experiencia relevante;Ense�anza Med;;6;1000-4999;Ltda;2;14;0
12333;261;;Sin experiencia relevante;Universitaria;STEM;3;;;;46;1
11021;310;Masculino;Con experiencia relevante;Universitaria;STEM;7;10000+;Ltda;4;16;0
241;316;Masculino;Con experiencia relevante;Universitaria;STEM;7;<10;Ltda;4;196;0
30935;318;Masculino;Con experiencia relevante;Universitaria;STEM;5;100-500;Ltda;1;42;0
29164;317;Masculino;Con experiencia relevante;Mag�st;Administraci�n y Neogci;11;10000+;Empresa P�bli;3;60;0
19711;313;Masculino;Con experiencia relevante;Universitaria;STEM;20;10000+;Ltda;4;138;1
4775;314;Masculino;Con experiencia relevante;Universitaria;STEM;7;50-99;Ltda;1;68;0
26429;312;Masculino;Sin experiencia relevante;Mag�st;Humanidades;2;;;1;6;0
8464;315;;Con experiencia relevante;Universitaria;STEM;2;;;;62;1
21021;311;Masculino;Con experiencia relevante;Universitaria;STEM;12;50-99;Startup;1;107;0
29504;330;Masculino;Con experiencia relevante;Mag�st;STEM;20;1000-4999;Empresa P�bli;5;55;0
898;285;Masculino;Con experiencia relevante;Ense�anza Med;;15;oct-49;Ltda;2;32;1
10524;287;Masculino;Con experiencia relevante;Universitaria;STEM;9;100-500;Ltda;5;174;0
22051;288;Masculino;Con experiencia relevante;Mag�st;STEM;4;;Ltda;3;34;1
28245;286;Masculino;Con experiencia relevante;Universitaria;STEM;20;;Ltda;5;3;0
28221;275;Femenino;Sin experiencia relevante;Universitaria;Humanidades;2;;;1;20;1
9917;277;;Con experiencia relevante;Universitaria;STEM;7;500-999;Ltda;;94;0
24567;279;Masculino;Sin experiencia relevante;Mag�st;STEM;15;10000+;Ltda;5;20;1
14526;276;Masculino;Con experiencia relevante;Mag�st;STEM;14;50-99;Ltda;2;6;0
32662;278;Masculino;Con experiencia relevante;Universitaria;STEM;5;500-999;Ltda;3;112;1
9853;300;Masculino;Con experiencia relevante;Universitaria;STEM;6;<10;Startup;1;45;0
20176;302;Masculino;Sin experiencia relevante;Ense�anza Med;;2;;;0;12;0
29611;304;;Con experiencia relevante;Universitaria;STEM;16;<10;Ltda;5;134;1
27473;301;Masculino;Con experiencia relevante;Universitaria;STEM;20;1000-4999;Ltda;5;9;1
5237;305;;Con experiencia relevante;Universitaria;Sin Licenciatura;6;1000-4999;Ltda;5;48;0
1331;303;Masculino;Con experiencia relevante;Mag�st;STEM;7;500-999;Startup;2;92;0
19844;306;Masculino;Con experiencia relevante;Universitaria;STEM;4;100-500;Empresa P�bli;2;160;0
6700;320;Masculino;Con experiencia relevante;Doctorado;STEM;20;50-99;Ltda;5;40;0
21080;324;;Con experiencia relevante;Universitaria;STEM;4;;;1;105;1
10257;321;;Con experiencia relevante;Universitaria;STEM;20;100-500;Ltda;1;160;0
26844;323;Masculino;Con experiencia relevante;Universitaria;STEM;20;50-99;Ltda;1;103;0
31093;322;Femenino;Sin experiencia relevante;Universitaria;Humanidades;16;;;5;78;1
15688;325;;Con experiencia relevante;Universitaria;STEM;11;1000-4999;Ltda;2;9;0
24563;290;;Con experiencia relevante;Universitaria;STEM;3;50-99;Startup;1;40;1
26780;295;Masculino;Con experiencia relevante;Mag�st;STEM;1;;;2;14;0
25317;294;Masculino;Con experiencia relevante;Universitaria;STEM;6;100-500;Ltda;3;198;1
33374;293;Masculino;Con experiencia relevante;;;10;;;2;3;0
5396;210;Masculino;Sin experiencia relevante;Ense�anza Med;;5;;;1;17;0
23642;212;Masculino;Sin experiencia relevante;Universitaria;STEM;5;;;0;37;1
2283;213;Masculino;Con experiencia relevante;Universitaria;STEM;19;100-500;Ltda;2;16;0
29822;211;Masculino;Con experiencia relevante;Universitaria;STEM;10;50-99;Ltda;1;13;0
5555;214;Other;Con experiencia relevante;Universitaria;STEM;20;10000+;Empresa P�bli;1;14;0
29851;215;Masculino;Con experiencia relevante;Ense�anza Med;;3;;;1;155;0
20294;210;Masculino;Con experiencia relevante;Universitaria;STEM;9;500-999;Ltda;3;77;0
24562;230;Masculino;Con experiencia relevante;Universitaria;STEM;20;100-500;Ltda;1;36;0
1485;231;;Con experiencia relevante;Universitaria;;15;50-99;Ltda;5;42;0
7471;232;Masculino;Con experiencia relevante;Universitaria;STEM;11;<10;Ltda;2;10;0
10243;233;Masculino;Sin experiencia relevante;Ense�anza Med;;4;;;1;14;0
1051;225;Masculino;Sin experiencia relevante;Universitaria;STEM;3;;;1;16;1
27955;226;Masculino;Con experiencia relevante;Universitaria;STEM;14;100-500;Ltda;5;116;1
5490;227;Masculino;Sin experiencia relevante;Ense�anza Med;;4;;Ltda;0;310;0
16583;220;Masculino;Sin experiencia relevante;Ense�anza Med;;1;;;0;53;1
32032;221;Masculino;Con experiencia relevante;Universitaria;STEM;20;100-500;ONG;1;70;0
5454;240;Masculino;Con experiencia relevante;Universitaria;Arte;15;50-99;Startup;1;22;0
3058;241;Masculino;Con experiencia relevante;Mag�st;STEM;17;500-999;Ltda;1;41;0
4705;242;Femenino;Con experiencia relevante;Universitaria;Humanidades;3;50-99;Ltda;3;66;0
14732;235;Masculino;Sin experiencia relevante;Doctorado;STEM;4;;Empresa P�bli;1;13;0
26569;236;Masculino;Con experiencia relevante;Universitaria;STEM;20;;;3;47;0
33256;245;Masculino;Sin experiencia relevante;Universitaria;STEM;2;;;2;106;0
5789;248;Masculino;Con experiencia relevante;Mag�st;STEM;11;100-500;Ltda;1;24;1
28019;246;Femenino;Con experiencia relevante;Universitaria;Sin Licenciatura;2;;;2;11;1
21908;247;Masculino;Con experiencia relevante;Universitaria;STEM;5;<10;Ltda;5;146;0
16494;250;Masculino;Con experiencia relevante;Universitaria;Arte;20;50-99;Startup;3;40;0
21446;252;;Con experiencia relevante;Universitaria;STEM;2;50-99;Startup;1;19;1
12707;253;Masculino;Con experiencia relevante;Universitaria;STEM;20;;;3;34;0
14283;251;Masculino;Con experiencia relevante;Universitaria;STEM;16;50-99;Ltda;1;16;0
15959;255;Masculino;Con experiencia relevante;Mag�st;STEM;10;50-99;;4;51;0
